name,accession,num_peak,num_peak_with_vari,vari_ratio
ABF2,An-1,4298,319,0.0742205677059097
ABF2,C24,4298,390,0.0907398790134946
ABF2,Cvi,4298,554,0.128897161470451
ABF2,Eri,4298,358,0.0832945556072592
ABF2,Kyo,4298,353,0.0821312238250349
ABF2,Ler,4298,371,0.0863192182410423
ABF2,Sha,4298,407,0.0946952070730572
ABI5,An-1,8154,662,0.081187147412313
ABI5,C24,8154,774,0.0949227373068433
ABI5,Cvi,8154,1059,0.129874908020603
ABI5,Eri,8154,712,0.0873191071866568
ABI5,Kyo,8154,744,0.0912435614422369
ABI5,Ler,8154,740,0.0907530046602894
ABI5,Sha,8154,854,0.104733872945793
AREB3,An-1,7704,489,0.0634735202492212
AREB3,C24,7704,608,0.078920041536864
AREB3,Cvi,7704,807,0.104750778816199
AREB3,Eri,7704,545,0.070742471443406
AREB3,Kyo,7704,555,0.0720404984423676
AREB3,Ler,7704,575,0.0746365524402908
AREB3,Sha,7704,623,0.0808670820353063
GBF3,An-1,8882,589,0.0663138932672821
GBF3,C24,8882,719,0.0809502364332358
GBF3,Cvi,8882,926,0.104255798243639
GBF3,Eri,8882,635,0.0714929070029273
GBF3,Kyo,8882,653,0.0735194775951362
GBF3,Ler,8882,625,0.0703670344517001
GBF3,Sha,8882,729,0.082076108984463
GBF5,An-1,3413,223,0.0653384119542924
GBF5,C24,3413,254,0.0744213302080281
GBF5,Cvi,3413,337,0.0987401113389979
GBF5,Eri,3413,239,0.0700263697626721
GBF5,Kyo,3413,237,0.0694403750366247
GBF5,Ler,3413,220,0.0644594198652212
GBF5,Sha,3413,261,0.0764723117491943
GBF6,An-1,6566,484,0.0737130673164788
GBF6,C24,6566,517,0.0787389582698751
GBF6,Cvi,6566,708,0.107828205909229
GBF6,Eri,6566,519,0.0790435577215961
GBF6,Kyo,6566,512,0.0779774596405726
GBF6,Ler,6566,498,0.0758452634785257
GBF6,Sha,6566,565,0.0860493451111788
TGA10,An-1,1423,86,0.0604356992269852
TGA10,C24,1423,97,0.0681658468025299
TGA10,Cvi,1423,128,0.089950808151792
TGA10,Eri,1423,85,0.0597329585382994
TGA10,Kyo,1423,92,0.0646521433591005
TGA10,Ler,1423,94,0.0660576247364722
TGA10,Sha,1423,114,0.0801124385101897
TGA1,An-1,5101,369,0.0723387571064497
TGA1,C24,5101,439,0.0860615565575377
TGA1,Cvi,5101,582,0.114095275436189
